"spol" "primanja"
"M" 6815.95
"Z" 8278.19
"M" 5718.13
"Z" 4599.32
"M" 5648.05
"Z" 6982.94
"Z" 7545.08
"M" 4928.99
"M" 9199.63
"Z" 5939.91
"Z" 8574.06
"Z" 7779.03
"Z" 7934.52
"M" 7624.41
"M" 7610.09
"M" 8327.73
"M" 7718.47
"Z" 8613.81
"M" 6108.44
"M" 9327.39
"Z" 7717.23
"Z" 7937.02
"M" 7185.89
"Z" 8146.69
"M" 8682.23
"Z" 5620.51
"M" 7925.6
"M" 8186.39
"Z" 7172.84
"Z" 5224.55
"M" 8061.77
"Z" 8040.59
"M" 12800.95
"M" 7812.43
"Z" 8049.39
"M" 6576.45
"M" 8076.83
"Z" 5727.51
"Z" 14953.16
"Z" 6201.22
"Z" 8898.83
"M" 7237.74
"M" 8921.23
"M" 8812.62
"M" 8309.5
